class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
M2,0.5936762623879188,0.8634179821551132,0.7035794183445189,0.9631253043901761,1457.0,500,2,MAPS
Mast,0.833112582781457,0.9458646616541353,0.8859154929577464,0.9943644333124608,665.0,500,2,MAPS
Monocyte,0.6905995558845299,0.6751085383502171,0.6827661909989023,0.969839281987059,1382.0,500,2,MAPS
NK,0.8081081081081081,0.8147138964577657,0.8113975576662145,0.9806581785291867,1468.0,500,2,MAPS
Neutrophil,0.7708029197080292,0.7674418604651163,0.7691187181354698,0.9889723787657413,688.0,500,2,MAPS
Other,0.6436041834271923,0.7835455435847208,0.7067137809187279,0.9769011340708272,1021.0,500,2,MAPS
Treg,0.4897229669347632,0.8166915052160953,0.612290502793296,0.9758575106101719,671.0,500,2,MAPS
Tumor,0.8457300275482094,0.9291767554479419,0.8854917796365734,0.9861893828706603,1652.0,500,2,MAPS
overall,0.7379816126131371,0.8066275198309426,0.7633087742408909,0.7771516037013846,,500,2,MAPS
B,0.6441780821917809,0.5805555555555556,0.6107142857142859,0.9165796980449454,3240.0,50,5,MAPS
CD4 T,0.6860965121834687,0.3831376734258271,0.4916966272898477,0.7934321296876087,7496.0,50,5,MAPS
CD8 T,0.6350733702189079,0.7512805919180421,0.6883066093077825,0.916823210185765,3514.0,50,5,MAPS
DC,0.41647277803629595,0.4644525168655942,0.43915603532875364,0.9204758922980588,1927.0,50,5,MAPS
Endothelial,0.7850851438637698,0.7679494543365881,0.7764227642276422,0.9732136645098448,1741.0,50,5,MAPS
Epithelial,0.31567567567567567,0.6488888888888888,0.42472727272727273,0.972483128087386,450.0,50,5,MAPS
Lymphatic,0.7575757575757576,0.7625994694960212,0.7600793126239259,0.9873721561260698,754.0,50,5,MAPS
M1,0.3538324420677362,0.6403225806451613,0.45579793340987373,0.9670214986432895,620.0,50,5,MAPS
M2,0.562015503875969,0.696636925188744,0.6221268771069568,0.9571070757670632,1457.0,50,5,MAPS
Mast,0.7379134860050891,0.8721804511278195,0.799448656099242,0.9898768524316427,665.0,50,5,MAPS
Monocyte,0.40071877807726863,0.3227206946454414,0.3575150300601202,0.9442357197523134,1382.0,50,5,MAPS
NK,0.5587284482758621,0.7064032697547684,0.6239470517448857,0.9565156891393585,1468.0,50,5,MAPS
Neutrophil,0.4810379241516966,0.7005813953488372,0.570414201183432,0.9747443122521394,688.0,50,5,MAPS
Other,0.3570127504553734,0.5759059745347699,0.4407796101949025,0.9480971265567383,1021.0,50,5,MAPS
Treg,0.4509624197983501,0.7332339791356185,0.5584562996594779,0.9729353649203367,671.0,50,5,MAPS
Tumor,0.8366141732283464,0.7717917675544794,0.8028967254408061,0.9782230571209908,1652.0,50,5,MAPS
overall,0.5611870778550843,0.6486650742763849,0.5889053307574506,0.5845682877617756,,50,5,MAPS
B,0.6435242839352429,0.637962962962963,0.6407315561066337,0.9193626939400265,3240.0,50,2,MAPS
CD4 T,0.69859046147905,0.4826574172892209,0.570887573964497,0.8107910665831768,7496.0,50,2,MAPS
CD8 T,0.6389297265510144,0.6183836084234491,0.6284887924801156,0.9106310443192096,3514.0,50,2,MAPS
DC,0.540595399188092,0.4146341463414634,0.469309838472834,0.9371390802198567,1927.0,50,2,MAPS
Endothelial,0.7572285870158211,0.7972429638139,0.7767207610520426,0.9722396159465665,1741.0,50,2,MAPS
Epithelial,0.34704112337011034,0.7688888888888888,0.47823082239115405,0.9737354762401725,450.0,50,2,MAPS
Lymphatic,0.9104204753199269,0.6604774535809018,0.7655649500384318,0.9893898281500034,754.0,50,2,MAPS
M1,0.3336113427856547,0.6451612903225806,0.43980208905992296,0.9645515897864051,620.0,50,2,MAPS
