ligand,receptor,median_responder,median_nonresponder,difference
OSM,OSMR_IL6ST,55.55555555555556,59.57446808510638,-4.01891253
IL10,IL10RA_IL10RB,50.57416267942583,55.67707463683419,-5.102911957
IL1A,IL1R1_IL1RAP,55.223880597014926,51.77639751552795,3.447483081486979
IL1B,IL1R1_IL1RAP,53.75,49.29577464788733,4.4542253521126725
IL1A,IL1R2,26.5625,22.110492845786965,4.452007154213035
IL1B,IL1R2,23.728813559322035,24.390243902439025,-0.661430343
IL33,IL1RL1_IL1RAP,38.888888888888886,36.97478991596639,1.9140989729224955
IL17B,IL17RB,29.91541353383458,28.051948051948052,1.8634654818865286
IL34,CSF1R,33.73309161902105,38.94296448087432,-5.209872862
CSF1,CSF1R,33.858560794044664,38.75,-4.891439206
IL16,CD4,31.463673077692032,34.34707114039119,-2.883398063
CSF3,CSF3R,17.796610169491526,15.625,2.171610169491526
IFNB1,IFNAR1_IFNAR2,61.458333333333336,60.59379217273954,0.8645411605937952
IFNA1,IFNAR1_IFNAR2,62.85714285714286,54.26086956521739,8.596273292
IFNG,IFNGR1_IFNGR2,72.93233082706767,72.22222222222221,0.710108605
TNF,TNFRSF1A,47.42857142857143,51.358024691358025,-3.929453263
TNF,TNFRSF1B,15.853658536585366,28.081841432225065,-12.2281829
TNFSF14,LTBR,30.41095890410959,30.663042319582132,-0.252083415
TNFSF14,TNFRSF14,26.56601393231309,39.58220293000542,-13.016189
FASLG,FAS,41.58615136876007,53.44827586206896,-11.86212449
TNFSF10,TNFRSF10A,10.86086368248957,7.101449275362318,3.7594144071272524
KLK3,NGFR,20.52304964539007,20.833333333333336,-0.310283688
TNFSF12,TNFRSF12A,66.21198568872987,58.97435897435898,7.237626714
CD70,CD27,29.59949937421777,42.16836734693878,-12.56886797
TNFSF9,TNFRSF9,19.81566820276498,23.72308991,-3.907421709
TNFSF4,TNFRSF4,19.332591768631815,16.071428571428573,3.261163197203242
TNFSF18,TNFRSF18,33.33333333333333,31.57894736842105,1.7543859649122773
TNFSF13B,TNFRSF17,15,12.643678160919542,2.356321839080458
TNFSF13B,TNFRSF13B,22.950819672131146,12.727272727272727,10.22354694485842
CD40LG,ITGA5_ITGB1,67.57246376811594,62.19037372883527,5.382090039280669
CD40LG,ITGAM_ITGB2,55.97069597069597,62.437810945273625,-6.467114975
SPP1,CD44,42.72300469483568,45.76085495,-3.037850259
SPP1,ITGAV_ITGB1,75.55555555555556,72.94586577678902,2.609689778766537
SPP1,ITGAV_ITGB5,66.88311688311688,64.42269866,2.460418220646389
SPP1,ITGAV_ITGB6,57.03125,55.31510773446257,1.716142265537428
SPP1,ITGA9_ITGB1,65.30612245,61.89985795454545,3.406264494
SPP1,ITGA5_ITGB1,71.25984251968504,63.600478468899524,7.659364050785513
ANGPTL1,ITGA1_ITGB1,73.08295153,70.73863636363637,2.344315168
ANGPT1,TEK,21.402116402116402,19.230769230769234,2.1713471713471684
ANGPT2,TEK,19.329736459846444,20.227592379491114,-0.89785592
ANGPT2,ITGA5_ITGB1,72.47846624,72.57733585858585,-0.098869618
PROK2,PROKR1,12.857142857142856,9.734513274336283,3.1226295828065727
NPPB,NPR1,10.69767441860465,8.270676691729323,2.426997726875328
NPPC,NPR2,18.023255813953487,19.152024446142093,-1.128768632
